Synthetic,Actual,Similarity
timeseries_1035.csv,timeseries_597.csv,-3.3662491173198443
timeseries_137.csv,timeseries_955.csv,-2.90354726570281
timeseries_255.csv,timeseries_961.csv,-4.8668870220868765
timeseries_477.csv,timeseries_587.csv,-4.527959224605504
timeseries_270.csv,timeseries_584.csv,-2.2277411543431014
timeseries_489.csv,timeseries_968.csv,-4.536451077741103
timeseries_856.csv,timeseries_594.csv,-4.323835657396538
timeseries_155.csv,timeseries_574.csv,-3.1020651187937984
timeseries_172.csv,timeseries_596.csv,-4.920823090085765
timeseries_927.csv,timeseries_994.csv,-4.325878081333894
timeseries_859.csv,timeseries_575.csv,-3.1474884881133827
timeseries_185.csv,timeseries_991.csv,-2.310212383602539
timeseries_1244.csv,timeseries_590.csv,-2.5317120129877972
timeseries_1025.csv,timeseries_592.csv,-3.6547691062728678
timeseries_78.csv,timeseries_587.csv,-3.8431639280765664
timeseries_789.csv,timeseries_968.csv,-3.785550607747637
timeseries_557.csv,timeseries_603.csv,-4.665333584991018
timeseries_295.csv,timeseries_571.csv,-2.760940836539501
timeseries_1394.csv,timeseries_585.csv,-3.5850198667975413
timeseries_1129.csv,timeseries_603.csv,-5.150567306111007
timeseries_221.csv,timeseries_602.csv,-3.9144123678665075
timeseries_865.csv,timeseries_961.csv,-4.950798891631942
timeseries_1432.csv,timeseries_971.csv,-4.395944050624448
timeseries_932.csv,timeseries_977.csv,-4.803047187120699
timeseries_60.csv,timeseries_960.csv,-3.8413814228996044
timeseries_774.csv,timeseries_571.csv,-2.09599101163372
timeseries_931.csv,timeseries_597.csv,-3.187206478860804
timeseries_852.csv,timeseries_966.csv,-2.8794450261290896
timeseries_881.csv,timeseries_595.csv,-2.8744123350679867
timeseries_415.csv,timeseries_998.csv,-4.721177643931008
timeseries_904.csv,timeseries_1000.csv,-2.511017441183789
timeseries_251.csv,timeseries_991.csv,-2.4436973588918813
timeseries_445.csv,timeseries_574.csv,-3.3056613750327264
timeseries_628.csv,timeseries_582.csv,-2.944535948316243
timeseries_1076.csv,timeseries_595.csv,-3.384280974039612
timeseries_554.csv,timeseries_954.csv,-4.6697829998604545
timeseries_208.csv,timeseries_582.csv,-3.294584331875795
timeseries_926.csv,timeseries_583.csv,-3.5183391261522576
timeseries_1380.csv,timeseries_970.csv,-4.2385093197747725
timeseries_49.csv,timeseries_580.csv,-3.023290983678927
